epoch,cate_output_categorical_accuracy,cate_output_loss,embedding_loss,loss,lr,val_cate_output_categorical_accuracy,val_cate_output_loss,val_embedding_loss,val_loss
0,0.1605507880449295,46.41413879394531,0.7637048363685608,47.17792892456055,0.0009974603,0.44254279136657715,40.25891876220703,0.8758979439735413,41.13481903076172
1,0.5510638356208801,37.45137405395508,0.7616684436798096,38.21296691894531,0.0009898674,0.6998777389526367,33.87388610839844,0.8331625461578369,34.70704650878906
2,0.7075597643852234,33.62046813964844,0.7402546405792236,34.3607292175293,0.000977299,0.7707824110984802,31.62605857849121,0.8140475749969482,32.44010925292969
3,0.7707118391990662,31.834362030029297,0.7292906641960144,32.563663482666016,0.00095988414,0.7836185693740845,30.851980209350586,0.8161088228225708,31.6680850982666
4,0.8030114769935608,30.881542205810547,0.7220308184623718,31.603559494018555,0.00093780155,0.8123471736907959,30.50349998474121,0.7980480790138245,31.301551818847656
5,0.8230051398277283,30.319257736206055,0.7191882729530334,31.038448333740234,0.0009112779,0.8209046721458435,29.375629425048828,0.7958783507347107,30.171506881713867
6,0.8435065746307373,29.44034767150879,0.7170328497886658,30.15738296508789,0.0008805853,0.8251833915710449,28.971420288085938,0.7909163236618042,29.762338638305664
7,0.8558424711227417,28.872982025146484,0.7144206762313843,29.587312698364258,0.00084603863,0.8331295847892761,28.51160430908203,0.7964603900909424,29.308063507080078
8,0.866986870765686,28.398239135742188,0.7132192850112915,29.111488342285156,0.0008079925,0.834963321685791,28.577529907226562,0.8018466830253601,29.379377365112305
9,0.8753376603126526,27.99427032470703,0.7125183939933777,28.70674705505371,0.0007668372,0.834963321685791,28.63485336303711,0.7994924187660217,29.434349060058594
10,0.8847448229789734,27.850175857543945,0.7120091319084167,28.562211990356445,0.0007229951,0.8367970585823059,28.396076202392578,0.8056248426437378,29.201702117919922
11,0.891898512840271,27.487689971923828,0.7113178968429565,28.199098587036133,0.0006769161,0.8374083042144775,28.609771728515625,0.8044955730438232,29.414268493652344
12,0.8983041644096375,27.042011260986328,0.710779070854187,27.752723693847656,0.000629073,0.830073356628418,28.0206241607666,0.8005486726760864,28.821176528930664
13,0.9041414856910706,26.622291564941406,0.7102880477905273,27.332571029663086,0.00057995674,0.8392420411109924,28.172157287597656,0.8072211146354675,28.97937774658203
14,0.9088190793991089,26.233509063720703,0.7099066376686096,26.943391799926758,0.0005300713,0.8484107851982117,27.8051700592041,0.8049553632736206,28.610130310058594
15,0.913773775100708,25.833852767944336,0.7097446918487549,26.54363250732422,0.00047992865,0.8319070935249329,27.221614837646484,0.8035337924957275,28.025146484375
16,0.9172744750976562,25.512235641479492,0.7095226049423218,26.221769332885742,0.00043004326,0.8471882343292236,26.794607162475586,0.7921512722969055,27.586755752563477
17,0.9210981726646423,25.175498962402344,0.7093465924263,25.884904861450195,0.000380927,0.8355745673179626,26.9758358001709,0.8199332356452942,27.795772552490234
18,0.9249499440193176,24.834516525268555,0.709186315536499,25.543670654296875,0.0003330839,0.8319070935249329,27.20577621459961,0.8033664226531982,28.009145736694336
19,0.928821325302124,24.49724578857422,0.7090505957603455,25.206262588500977,0.0002870049,0.8422982692718506,26.39960289001465,0.8020628094673157,27.2016658782959
20,0.9315819144248962,24.249221801757812,0.7089711427688599,24.958223342895508,0.00024316281,0.8563569784164429,25.96024513244629,0.7887465953826904,26.748992919921875
21,0.9339326024055481,23.984779357910156,0.7089412212371826,24.693769454956055,0.00020200753,0.8410757780075073,26.3309326171875,0.8094896078109741,27.140422821044922
22,0.9361377954483032,23.76824378967285,0.7087239623069763,24.47696304321289,0.00016396138,0.8392420411109924,26.41216278076172,0.8188958764076233,27.231056213378906
23,0.9380450248718262,23.565269470214844,0.7087618708610535,24.27403450012207,0.00012941472,0.8435207605361938,26.364564895629883,0.8232038617134094,27.187767028808594
24,0.9402128458023071,23.383710861206055,0.7085356712341309,24.09221649169922,9.87221e-05,0.8588019609451294,25.96800422668457,0.7985591888427734,26.766565322875977
25,0.9414796233177185,23.24563980102539,0.7084752917289734,23.954084396362305,7.2198425e-05,0.8441320061683655,25.87473487854004,0.8069956302642822,26.681732177734375
26,0.9423231482505798,23.141050338745117,0.7084276080131531,23.849477767944336,5.0115883e-05,0.8453544974327087,25.741619110107422,0.795793890953064,26.537412643432617
27,0.9432517290115356,23.0620174407959,0.708429753780365,23.770463943481445,3.2701068e-05,0.8490220308303833,25.6151180267334,0.7962154150009155,26.411334991455078
28,0.9437789916992188,23.003053665161133,0.7084910273551941,23.7115535736084,2.0132678e-05,0.8514670133590698,25.76548194885254,0.8001664876937866,26.565649032592773
29,0.9439074397087097,22.97923469543457,0.7084195017814636,23.687654495239258,1.2539685e-05,0.846576988697052,25.781574249267578,0.8024657368659973,26.58403968811035
